,brand_name,unibi_word,counts
717,Athletic Greens,delicious,2
718,Athletic Greens,delivered,2
719,Athletic Greens,desired,2
720,Athletic Greens,didnt,2
721,Athletic Greens,difference_benefit,2
722,Athletic Greens,difference_body,2
723,Athletic Greens,difference_gut,2
724,Athletic Greens,difference_health,2
725,Athletic Greens,difference_one,2
726,Athletic Greens,difference_use,2
727,Athletic Greens,difference_yet,2
728,Athletic Greens,different_drinking,2
729,Athletic Greens,difficult_swallow,2
730,Athletic Greens,digestion,2
731,Athletic Greens,disappointed_taste,2
732,Athletic Greens,discontinue,2
733,Athletic Greens,dissolve_water,2
734,Athletic Greens,done,2
735,Athletic Greens,doubt,2
736,Athletic Greens,dozen,2
737,Athletic Greens,drink_bit,2
738,Athletic Greens,drink_due,2
739,Athletic Greens,drink_smoothy,2
740,Athletic Greens,drink_taste,2
741,Athletic Greens,drink_tried,2
742,Athletic Greens,drinkable,2
743,Athletic Greens,drinking_taste,2
744,Athletic Greens,due_taste,2
745,Athletic Greens,early,2
746,Athletic Greens,early_morning,2
747,Athletic Greens,earthy,2
748,Athletic Greens,easily,2
749,Athletic Greens,ended,2
750,Athletic Greens,energy_boost,2
751,Athletic Greens,energy_overall,2
752,Athletic Greens,enjoy_drinking,2
753,Athletic Greens,enjoy_’,2
754,Athletic Greens,envelope,2
755,Athletic Greens,eventually,2
756,Athletic Greens,every_time,2
757,Athletic Greens,everywhere,2
758,Athletic Greens,exactly,2
759,Athletic Greens,except,2
760,Athletic Greens,excited_ag,2
761,Athletic Greens,expensive_buy,2
762,Athletic Greens,expensive_ca,2
763,Athletic Greens,expensive_given,2
764,Athletic Greens,expensive_reason,2
765,Athletic Greens,expensive_would,2
766,Athletic Greens,experienced_benefit,2
767,Athletic Greens,fairly,2
768,Athletic Greens,fan_taste,2
769,Athletic Greens,fee,2
770,Athletic Greens,feel_benefit,2
771,Athletic Greens,feel_change,2
772,Athletic Greens,feel_differently,2
773,Athletic Greens,feel_improvement,2
774,Athletic Greens,feel_’,2
775,Athletic Greens,feeling_different,2
776,Athletic Greens,felt_energy,2
777,Athletic Greens,figure,2
778,Athletic Greens,find_different,2
779,Athletic Greens,finger,2
780,Athletic Greens,finger_covered,2
781,Athletic Greens,first_shipment,2
782,Athletic Greens,first_try,2
783,Athletic Greens,first_’,2
784,Athletic Greens,fix,2
785,Athletic Greens,flavor_green,2
786,Athletic Greens,flavor_ok,2
787,Athletic Greens,flavor_’,2
788,Athletic Greens,flavored,2
789,Athletic Greens,force,2
790,Athletic Greens,found_athletic,2
791,Athletic Greens,friend,2
792,Athletic Greens,fruity,2
793,Athletic Greens,fully_dissolve,2
794,Athletic Greens,future,2
795,Athletic Greens,future_order,2
796,Athletic Greens,gagging,2
797,Athletic Greens,gave_two,2
798,Athletic Greens,general,2
799,Athletic Greens,getting_’,2
800,Athletic Greens,give_another,2
801,Athletic Greens,give_lot,2
802,Athletic Greens,give_one,2
803,Athletic Greens,giving,2
804,Athletic Greens,glad,2
805,Athletic Greens,glowing,2
806,Athletic Greens,glowing_review,2
807,Athletic Greens,go_week,2
808,Athletic Greens,going_give,2
809,Athletic Greens,going_try,2
810,Athletic Greens,grass,2
811,Athletic Greens,grassy,2
812,Athletic Greens,green_daily,2
813,Athletic Greens,green_day,2
814,Athletic Greens,green_first,2
815,Athletic Greens,green_juice,2
816,Athletic Greens,green_smoothie,2
817,Athletic Greens,green_supplement,2
818,Athletic Greens,green_think,2
819,Athletic Greens,green_two,2
820,Athletic Greens,gross_’,2
821,Athletic Greens,guess,2
822,Athletic Greens,gut_health,2
823,Athletic Greens,guy,2
824,Athletic Greens,handle_taste,2
825,Athletic Greens,happen,2
826,Athletic Greens,hardly,2
827,Athletic Greens,headache,2
828,Athletic Greens,health_energy,2
829,Athletic Greens,health_save,2
830,Athletic Greens,health_well,2
831,Athletic Greens,healthier,2
832,Athletic Greens,healthy_diet,2
833,Athletic Greens,healthy_’,2
834,Athletic Greens,hear,2
835,Athletic Greens,heard_many,2
836,Athletic Greens,help_energy,2
837,Athletic Greens,hide,2
838,Athletic Greens,hide_taste,2
839,Athletic Greens,high_quality,2
840,Athletic Greens,higher,2
841,Athletic Greens,hint,2
842,Athletic Greens,hold,2
843,Athletic Greens,honest,2
844,Athletic Greens,hoping_ag,2
845,Athletic Greens,hoping_’,2
846,Athletic Greens,hot,2
847,Athletic Greens,however_expensive,2
848,Athletic Greens,husband_mind,2
849,Athletic Greens,impossible,2
850,Athletic Greens,including_shipping,2
851,Athletic Greens,incorporate,2
852,Athletic Greens,increased,2
853,Athletic Greens,increased_energy,2
854,Athletic Greens,incredibly,2
855,Athletic Greens,influencers,2
856,Athletic Greens,ingredient_taste,2
857,Athletic Greens,initial,2
858,Athletic Greens,instagram,2
859,Athletic Greens,intake,2
860,Athletic Greens,intestinal,2
861,Athletic Greens,job,2
862,Athletic Greens,juice_’,2
863,Athletic Greens,justify_cost,2
864,Athletic Greens,keeping,2
865,Athletic Greens,kept_trying,2
866,Athletic Greens,lack,2
867,Athletic Greens,leak,2
868,Athletic Greens,leave,2
