Owner Role,Opportunity Owner,Account Name (DBA),Opportunity Name,Stage,Fiscal Period,Amount,Probability (%),Age,Fund/Close Date,Created Date,Next Step,Lead Source,Type,Website
Equity Fund,Aditi Dash,The Real Co.,The Real Co. - March 2020,Closed Passed,Q4-2020,,1/0/00,295,44196,43901,,Inbound,,thereal.co
Equity Fund,Aditi Dash,Alchemy365,Alchemy365 - March 2020,Closed Passed,Q4-2020,,1/0/00,295,44196,43901,,Inbound,,alchemy365.com
Equity Fund,Aditi Dash,The Crafter's Box,The Crafter's Box - March 2020,Closed Passed,Q4-2020,,1/0/00,295,44196,43901,,Inbound,,thecraftersbox.com
Equity Fund,Aditi Dash,BOOCHCRAFT,Boochcraft - January 2020,Closed Lost,Q4-2020,,1/0/00,358,44196,43838,,Manual,,boochcraft.com
Equity Fund,Aditi Dash,Rule Breaker Snacks,Rule Breaker Snacks - January 2020,Closed Passed,Q4-2020,,1/0/00,344,44196,43852,,Helio,,rulebreakersnacks.com
Equity Fund,Aditi Dash,Mavericks,Mavericks - January 2020,Closed Passed,Q4-2020,,1/0/00,357,44196,43839,,Manual,,mavericksnacks.com
Equity Fund,Aditi Dash,SkinTe,SkinTe - January 2020,Closed Passed,Q4-2020,,1/0/00,356,44196,43840,,Manual,,skinte.com
Equity Fund,Aditi Dash,Rem Beauty (Ariana Grande),Rem Beauty (Ariana Grande) - January 2020,Closed Passed,Q4-2020,,1/0/00,345,44196,43851,,Investor Referral,,rembeauty.com
Equity Fund,Aditi Dash,Veriphy Skincare,Veriphy Skincare - January 2020,Closed Passed,Q4-2020,,1/0/00,358,44196,43838,,Inbound,,veriphyskincare.com
Equity Fund,Aditi Dash,Van Leeuwen Ice Cream,Van Leeuwen Ice Cream - January 2020,Closed Passed,Q4-2020,,1/0/00,353,44196,43843,,Helio,,vanleeuwenicecream.com
Equity Fund,Aditi Dash,Madre Mezcal,Madre Mezcal - January 2020,Closed Passed,Q4-2020,,1/0/00,351,44196,43845,,Manual,,madremezcal.com
